Liste des tickets du jour

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| datetime            | caissiere_id | client_id | type    | ean             | nom                                                                                                                             | pu    | qte   |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 2025-09-22 09:00:27 | 3            | 366.0     | PRODUIT | 8005110000775   | SAUCE TOMATES ET PARMESAN 400G                                                                                                  | 2.56  | 2.0   |
| 2025-09-22 09:00:27 | 3            | 366.0     | PRODUIT | 3596710399437   | AUC FROM FRAIS AFH 150G                                                                                                         | 1.41  | 4.0   |
| 2025-09-22 09:00:27 | 3            | 366.0     | VRAC    |                 | Oignon rouge                                                                                                                    | 4.78  | 1.86  |
| 2025-09-22 09:00:27 | 3            | 366.0     | PRODUIT | 4004625312438   | ELECTROD.INOX 300MM D2 10 BAG                                                                                                   | 9.55  | 1.0   |
| 2025-09-22 09:00:27 | 3            | 366.0     | PRODUIT | 3760077533166   | CONF.TOMATE.SE CHEE.FLOREL.190                                                                                                  | 3.49  | 1.0   |
| 2025-09-22 09:00:27 | 3            | 366.0     | VRAC    |                 | RIZ BASMATI COMPLET                                                                                                             | 3.93  | 0.73  |
| 2025-09-22 09:00:27 | 3            | 366.0     | PRODUIT | 5060947546844   | MONSTER COSMIC PEACH 50CL                                                                                                       | 2.25  | 5.0   |
| 2025-09-22 09:00:27 | 3            | 366.0     | PRODUIT | 3380380087479   | Mini lunettes chocolat (6)                                                                                                      | 3.6   | 2.0   |
| 2025-09-22 09:00:27 | 3            | 366.0     | VRAC    |                 | TOMAT BOUR                                                                                                                      | 3.95  | 2.47  |
| 2025-09-22 09:00:27 | 3            | 366.0     | PRODUIT | 3666919000288   | BOUDIN PORTE CHIEN                                                                                                              | 15.95 | 1.0   |
| 2025-09-22 09:00:27 | 3            | 366.0     | VRAC    |                 | BETTERAVE                                                                                                                       | 2.54  | 0.38  |
| 2025-09-22 09:00:27 | 3            | 366.0     | PRODUIT | 8710522922019   | KETCHUP 5 INGREDIENTS                                                                                                           | 2.29  | 3.0   |
| 2025-09-22 09:00:27 | 3            | 366.0     | VRAC    |                 | BROCOLI VRAC                                                                                                                    | 3.79  | 0.51  |
| 2025-09-22 09:04:46 | 30           | 378.0     | VRAC    |                 | MANGUE                                                                                                                          | 1.39  | 0.43  |
| 2025-09-22 09:04:46 | 30           | 378.0     | PRODUIT | 3245679741763   | AUC PEINT MURS/PLAFONDS BLANCSATIN PIECES HUMIDES 2,5L                                                                          | 34.99 | 4.0   |
| 2025-09-22 09:06:56 | 35           | 36.0      | PRODUIT | 3760381260543   | MOUSLINE CREME NOIX MUSCADE 4                                                                                                   | 3.43  | 5.0   |
| 2025-09-22 09:06:56 | 35           | 36.0      | PRODUIT | 5200104109332   | OLIVES VERTES  CRUES  AVEC NOYAUX                                                                                               | 3.27  | 4.0   |
| 2025-09-22 09:06:56 | 35           | 36.0      | VRAC    |                 | Poire Conférence                                                                                                                | 4.0   | 1.35  |
| 2025-09-22 09:06:56 | 35           | 36.0      | VRAC    |                 | Oignon Roux                                                                                                                     | 5.49  | 1.05  |
| 2025-09-22 09:06:56 | 35           | 36.0      | VRAC    |                 | BANANIA                                                                                                                         | 3.07  | 1.21  |
| 2025-09-22 09:06:56 | 35           | 36.0      | PRODUIT | 3564700018590   | R SAFRAN X3                                                                                                                     | 2.96  | 4.0   |
| 2025-09-22 09:06:56 | 35           | 36.0      | VRAC    |                 | ORANGE FILET 1,5KG                                                                                                              | 1.53  | 1.96  |
| 2025-09-22 09:06:56 | 35           | 36.0      | PRODUIT | 3250393088087   | P.POIS SS SEL SS SUCRE SS AROM                                                                                                  | 1.0   | 2.0   |
| 2025-09-22 09:06:56 | 35           | 36.0      | VRAC    |                 | POMME NINA VRAC                                                                                                                 | 3.29  | 1.0   |
| 2025-09-22 09:06:56 | 35           | 36.0      | PRODUIT | 3162050010501   | HERBES DE PROVENCE LR FLACON18                                                                                                  | 2.65  | 4.0   |
| 2025-09-22 09:06:56 | 35           | 36.0      | VRAC    |                 | Cosommation Grenaille                                                                                                           | 2.99  | 0.38  |
| 2025-09-22 09:06:56 | 35           | 36.0      | VRAC    |                 | Poire Barquette                                                                                                                 | 2.29  | 2.5   |
| 2025-09-22 09:06:56 | 35           | 36.0      | PRODUIT | 2006050138319   | Saumon à l'oseille et riz                                                                                                       | 3.45  | 4.0   |
| 2025-09-22 09:06:56 | 35           | 36.0      | VRAC    |                 | ABRICOT MOYEN VRAC                                                                                                              | 2.99  | 1.79  |
| 2025-09-22 09:06:56 | 35           | 36.0      | VRAC    |                 | PATISSON BLANC                                                                                                                  | 2.99  | 1.69  |
| 2025-09-22 09:06:56 | 35           | 36.0      | PRODUIT | 3250391985760   | MELANGE MAIS POIVRON                                                                                                            | 2.06  | 1.0   |
| 2025-09-22 09:08:24 | 5            |           | PRODUIT | 8801007346496   | 007629 *ALGUE ASSAISONNEE                                                                                                       | 3.4   | 2.0   |
| 2025-09-22 09:08:24 | 5            |           | PRODUIT | 5903355000785   | BROSSE DE BAIN                                                                                                                  | 1.6   | 3.0   |
| 2025-09-22 09:08:24 | 5            |           | PRODUIT | 3173287695584   | ETUI COEUR GUIMAUVE NOIR                                                                                                        | 4.39  | 5.0   |
| 2025-09-22 09:08:24 | 5            |           | PRODUIT | 3242272856559   | SOD SDW COMP ROSET LYON12                                                                                                       | 2.01  | 3.0   |
| 2025-09-22 09:08:24 | 5            |           | VRAC    |                 | POMELOS BIO 2 FRUITS                                                                                                            | 1.84  | 2.49  |
| 2025-09-22 09:08:24 | 5            |           | VRAC    |                 | POMME DE TERRE A CHAIR FERME DE CONSOMMATION Variété ALLIANS                                                                    | 2.49  | 1.19  |
| 2025-09-22 09:08:24 | 5            |           | VRAC    |                 | rutábaga                                                                                                                        | 3.49  | 1.57  |
| 2025-09-22 09:08:24 | 5            |           | VRAC    |                 | poireau                                                                                                                         | 2.79  | 2.43  |
| 2025-09-22 09:08:24 | 5            |           | PRODUIT | 3245415860642   | 110G STEAK**X2 CRF BIO                                                                                                          | 6.2   | 2.0   |
| 2025-09-22 09:08:24 | 5            |           | VRAC    |                 | Orange a jus 2kg                                                                                                                | 0.98  | 2.17  |
| 2025-09-22 09:08:24 | 5            |           | PRODUIT | 3250390835868   | PATURAGES BLEU 250G                                                                                                             | 2.12  | 4.0   |
| 2025-09-22 09:08:24 | 5            |           | VRAC    |                 | CAROTTE SIMPL FR                                                                                                                | 1.98  | 0.52  |
| 2025-09-22 09:08:24 | 5            |           | VRAC    |                 | TOMATE RONDE EN GRAPPE                                                                                                          | 2.19  | 0.84  |
| 2025-09-22 09:08:24 | 5            |           | PRODUIT | 3560070535194   | SAUCE FORESTIERE                                                                                                                | 2.17  | 1.0   |
| 2025-09-22 09:08:24 | 5            |           | PRODUIT | 3560071265472   | PERSIL CRF BIO                                                                                                                  | 1.01  | 4.0   |
| 2025-09-22 09:08:24 | 5            |           | PRODUIT | 0490000000412   | Vin pétillant brut L'improbulle Chenin Hauts Perrays 75cl                                                                       | 8.96  | 3.0   |
| 2025-09-22 09:08:24 | 5            |           | VRAC    |                 | Chou vert lisse                                                                                                                 | 2.99  | 1.09  |
| 2025-09-22 09:08:24 | 5            |           | VRAC    |                 | Riz Thai blanc                                                                                                                  | 6.55  | 1.47  |
| 2025-09-22 09:20:34 | 43           |           | PRODUIT | 3596710479573   | oeufs                                                                                                                           | 3.83  | 3.0   |
| 2025-09-22 09:20:34 | 43           |           | PRODUIT | 8410076472502   | OLD PASO FAJITAS KIT DX                                                                                                         | 7.15  | 3.0   |
| 2025-09-22 09:20:34 | 43           |           | VRAC    |                 | KIWI SAUNE Soreci                                                                                                               | 6.49  | 0.78  |
| 2025-09-22 09:20:34 | 43           |           | PRODUIT | 3330720258083   | PREPA OCP BIO RCC                                                                                                               | 2.86  | 4.0   |
| 2025-09-22 09:20:34 | 43           |           | PRODUIT | 3596710396795   | AUCHAN TAGLIATELLES                                                                                                             | 1.48  | 3.0   |
